,item,item_index,count,responses,rt,age,trial_type,rating
16273,African aftermath,16273,9,[-2 -2  3  1  2  0  1  1  2],2538.5555555555557,29.0,crit,0.6666666666666666
14988,African bill,14988,7,[ 2  3 -1 -3 -2 -3  2],5472.285714285715,34.857142857142854,crit,-0.2857142857142857
4192,African can,4192,10,[ 2 -3 -1  3  1  1 -2  2  0  3],3837.1,30.3,crit,0.6
17362,African catalog,17362,8,[ 3  3 -1 -1  3 -3 -1 -3],3491.375,32.375,crit,0.0
4587,African chance,4587,13,[-2 -3  3 -1 -2 -3 -3 -1 -2 -3 -2  1  0],4000.0,33.61538461538461,crit,-1.3846153846153846
13062,African grief,13062,7,[ 2  2  3  1 -3  0  2],6311.142857142857,31.142857142857142,crit,1.0
9820,African handset,9820,10,[ 1 -1  0  3 -3 -1 -3  3 -3 -3],3154.4,36.9,crit,-0.7
2021,African inception,2021,10,[-2  2 -3  1 -3  3 -2  1 -3  3],4803.3,41.0,crit,-0.3
1134,African investigation,1134,7,[2 3 1 1 3 1 3],3857.285714285714,37.57142857142857,crit,2.0
11633,African luxury,11633,8,[ 2  3 -1  2  3  3  3  2],3817.625,33.375,crit,2.125
19236,African nomination,19236,3,[-3  1  0],3192.0,30.0,crit,-0.6666666666666666
15077,African nose,15077,10,[-1  3 -2  3  3  3  3 -3 -1  3],3760.4,28.2,crit,1.1
9563,African novice,9563,8,[ 0 -3  3 -3  3  1 -2  2],3454.0,32.0,crit,0.125
10800,African outset,10800,11,[-2 -3 -1  2 -2 -3 -3  3 -3 -3  2],8177.727272727273,39.72727272727273,crit,-1.1818181818181819
15786,African pier,15786,3,[2 2 2],10927.666666666666,43.333333333333336,crit,2.0
14580,African pollution,14580,11,[ 3  3  3  1  2  1 -2  2  2  3  1],3395.181818181818,34.0,crit,1.7272727272727273
12014,African preparation,12014,9,[ 1 -3 -1  2  2  1 -3 -3 -3],4816.666666666667,50.77777777777778,crit,-0.7777777777777778
11878,African shortage,11878,10,[-2 -2 -3 -3  3 -1  0 -1 -3 -3],4468.0,35.1,crit,-1.5
1851,African trunk,1851,7,[ 1  3 -2  2  0 -3  0],7474.0,30.857142857142858,crit,0.14285714285714285
18832,American beam,18832,9,[-3 -2  2 -1 -1 -1 -3 -2 -2],5849.111111111111,30.77777777777778,crit,-1.4444444444444444
19693,American bulk,19693,9,[ 1  2 -2 -3 -2 -3  0  0  1],4608.111111111111,29.22222222222222,crit,-0.6666666666666666
9581,American correlation,9581,8,[ 0 -3  1  2  1 -1  0 -3],10302.375,27.25,crit,-0.375
8318,American crater,8318,11,[-3 -3  3  2  0  1  1 -2  1  2 -2],4745.0,34.81818181818182,crit,0.0
7935,American dairy,7935,7,[ 0  3  2  2  3 -1  3],5263.428571428572,28.714285714285715,crit,1.7142857142857142
17538,American hook,17538,7,[ 1 -1 -3  3 -3 -1 -2],2942.1428571428573,25.571428571428573,crit,-0.8571428571428571
12698,American ice,12698,11,[ 2  3  3  0  0  0  1 -2 -1  2 -1],4537.090909090909,32.09090909090909,crit,0.6363636363636364
10279,American incidence,10279,9,[ 3 -3  2  2  2  2  3  2  2],6397.777777777777,37.0,crit,1.6666666666666667
9691,American inflammation,9691,7,[-3 -3 -2 -2 -2 -3 -1],4641.428571428572,41.142857142857146,crit,-2.2857142857142856
18442,American ion,18442,11,[-3 -3 -3 -3 -2 -1 -3 -3 -3 -3 -3],4162.181818181818,30.90909090909091,crit,-2.727272727272727
15070,American oxide,15070,4,[-3 -2  0 -3],3948.0,37.25,crit,-2.0
1146,American protein,1146,13,[ 3  1  3  1 -2 -1  0 -1  2 -3 -3 -3 -3],6569.384615384615,31.23076923076923,crit,-0.46153846153846156
14323,American reef,14323,7,[ 2  1  1 -2  3  2  1],4232.0,30.0,crit,1.1428571428571428
14922,American ref,14922,4,[ 1  3  3 -3],13303.25,33.5,crit,1.0
6926,American sleep,6926,11,[-3  1  1 -2 -2  2  0  0 -3 -2  3],5421.090909090909,28.727272727272727,crit,-0.45454545454545453
17350,American throat,17350,9,[ 3 -3  1 -3  1 -2 -3 -3  0],4226.888888888889,35.333333333333336,crit,-1.0
2627,American tiger,2627,11,[ 2  3  2 -2  0  2  3  3  3  3  3],2711.0,31.545454545454547,crit,2.0
19699,American wording,19699,7,[-1  1  2  3  3  3  0],4902.428571428572,30.0,crit,1.5714285714285714
19472,Arab ace,19472,6,[-3  0  1 -3 -1  0],5138.5,27.166666666666668,crit,-1.0
15178,Arab ascent,15178,4,[ 3  0 -1  1],7408.0,31.0,crit,0.75
