,item,item_index,count,responses,rt,age,trial_type,rating
16273,African aftermath,16273,6,[-2 -2  3  1  1  2],2734.3333333333335,30.166666666666668,crit,0.5
14988,African bill,14988,6,[ 2  3 -1 -3 -3  2],5306.666666666667,35.833333333333336,crit,0.0
4192,African can,4192,6,[ 2 -1  3  1  2  0],4260.833333333333,26.5,crit,1.1666666666666667
17362,African catalog,17362,8,[ 3  3 -1 -1  3 -3 -1 -3],3491.375,32.375,crit,0.0
4587,African chance,4587,11,[-2 -3  3 -1 -2 -1 -2 -3 -2  1  0],4111.181818181818,29.636363636363637,crit,-1.0909090909090908
13062,African grief,13062,5,[2 2 1 0 2],7168.4,32.2,crit,1.4
9820,African handset,9820,9,[ 1  0  3 -3 -1 -3  3 -3 -3],3138.6666666666665,37.111111111111114,crit,-0.6666666666666666
2021,African inception,2021,9,[ 2 -3  1 -3  3 -2  1 -3  3],4961.0,42.666666666666664,crit,-0.1111111111111111
1134,African investigation,1134,7,[2 3 1 1 3 1 3],3857.285714285714,37.57142857142857,crit,2.0
11633,African luxury,11633,8,[ 2  3 -1  2  3  3  3  2],3817.625,33.375,crit,2.125
19236,African nomination,19236,3,[-3  1  0],3192.0,30.0,crit,-0.6666666666666666
15077,African nose,15077,7,[ 3  3  3  3  3 -3  3],2826.8571428571427,28.714285714285715,crit,2.142857142857143
9563,African novice,9563,6,[ 0  3 -3  3 -2  2],3817.8333333333335,33.0,crit,0.5
10800,African outset,10800,9,[-2 -3 -1  2 -2 -3  3 -3 -3],9013.666666666666,43.44444444444444,crit,-1.3333333333333333
15786,African pier,15786,3,[2 2 2],10927.666666666666,43.333333333333336,crit,2.0
14580,African pollution,14580,10,[ 3  3  3  1  2  1 -2  2  3  1],3494.1,34.0,crit,1.7
12014,African preparation,12014,7,[ 1 -3 -1  2  2 -3 -3],4662.285714285715,48.42857142857143,crit,-0.7142857142857143
11878,African shortage,11878,6,[-2 -3  0 -1 -3 -3],5919.166666666667,35.333333333333336,crit,-2.0
1851,African trunk,1851,6,[ 1  3 -2  2 -3  0],4391.0,32.666666666666664,crit,0.16666666666666666
18832,American beam,18832,7,[-2  2 -1 -1 -3 -2 -2],6048.142857142857,24.428571428571427,crit,-1.2857142857142858
